Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Beak Direction,Fan Art Beak Direction,Swift Start,Automata Ban,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Black Vulture,Coragyps atratus,core,pink,"When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.","Turkey vultures have a better sense of smell, so black vultures follow them to food.",,,,2,cavity,1,150,X,,,,,,,,,,,,0,R,,,,X,X,X,,,,,,,,X,X,,,,,,,,,,X,X,X,,,,,,X,,,,,Coragyps atratus,Cathartidae,Accipitriformes,Y9SZ,2,tier 1,https://navarog.github.io/wingsearch/card/32,FALSE
Black Woodpecker,Dryocopus martius,european,brown,Gain all [invertebrate] that are in the birdfeeder.,Tree holes made by this bird provide homes for other species.,,,,4,cavity,2,70,X,,,2,,,1,,,,,,3,R,,,,,,,X,X,,,,,,X,,,,,X,,,,,,X,X,X,,,,,,X,X,,,,Dryocopus martius,Picidae,Piciformes,37VCZ,2,tier 1,https://navarog.github.io/wingsearch/card/33,FALSE
Black-and-White Warbler,Mniotilta varia,promoUS,brown,"Roll any 1 [die]. From the supply, gain either 1 of that food or 1 food showing on the opposite side.","Black-and-white warblers probe for insects behind tree bark, often while upside down.",,,,2,bowl,3,20,X,,X,1,,,,,,,,,1,L,,,,X,X,X,,,,,,,,X,X,X,,,,,,,,X,,,,,X,,,,,,,X,,Mniotilta varia,Parulidae,Passeriformes,43SRL,,,https://navarog.github.io/wingsearch/card/34,FALSE
Black-and-Yellow Broadbill,Eurylaimus ochromalus,promoAsia,pink,"When another player caches a [wild] for any reason, cache 1 from the supply on this bird.",These colorful Asian broadbills hunt in loose groups of 10–15 in forest canopies.,,,,4,wild,2,34,X,,X,2,,,,,,,,,2,R,,,,,,,,X,,,X,,,X,,X,,,,X,,,,X,,,X,,,X,,,X,,,X,,Eurylaimus ochromalus,Eurylaimidae,Passeriformes,6HGL6,,,https://navarog.github.io/wingsearch/card/35,FALSE
Black-Bellied Whistling-Duck,Dendrocygna autumnalis,core,brown,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,These ducks really do whistle.,,X,,2,cavity,5,76,,,X,,2,,,,,,,,2,R,R,,,X,X,X,,,,,X,,,X,X,,X,X,,,,,,,,X,X,,,,,,,,X,,,Dendrocygna autumnalis,Anatidae,Anseriformes,34Q2Z,4,underused tier,https://navarog.github.io/wingsearch/card/473,TRUE
Black-Billed Magpie,Pica hudsonia,core,pink,"When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.",These omnivores steal eggs and eat carrion along with a diversity of other foods.,,,,3,wild,3,64,,X,,,,,,,,2,,,2,R,R,,,X,,,,,,,X,,,X,X,,,,,X,,,,,,,X,X,,X,X,,,,,X,,Pica hudsonia,Corvidae,Passeriformes,4HPXK,4,underused tier,https://navarog.github.io/wingsearch/card/36,TRUE
Black-Capped Chickadee,Poecile atricapillus,promoCA,white,Play a bird from the tray. Pay its normal food and egg cost.,Black-capped chickadees are inquisitive and often associate with warblers and other migrants.,,,,3,cavity,3,19,X,,,1,1,,,,,,/,,1,R,,,,X,,,,,,,X,,,X,X,,,X,,,,,,,X,,X,,X,,,,,,,,,Poecile atricapillus,Paridae,Passeriformes,4KSBV,,,https://navarog.github.io/wingsearch/card/37,FALSE
Black-Chinned Hummingbird,Archilochus alexandri,core,brown,All players gain 1 [fruit] from the supply.,"To display, males of this species will fly up 30 m then dive, reaching speeds near 100 kilometers per hour.",,,,4,bowl,2,8,X,X,X,,,,,,,1,,,1,R,R,X,,X,,,,,,,X,,,X,,X,,,,,,,,,,,,X,X,,,,X,,,X,,Archilochus alexandri,Trochilidae,Apodiformes,G96Y,4,underused tier,https://navarog.github.io/wingsearch/card/38,TRUE
Black-Crowned Night-Heron,Nycticorax nycticorax,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,"Night herons eat carrion and eggs in addition to fish, rodents, and invertebrates.",,,,9,platform,2,112,,,X,1,,1,,1,,,,,3,R,R,,,X,X,X,X,X,X,X,X,,,X,,,,,X,,,,X,,,X,,,,X,,X,X,,X,,,Nycticorax nycticorax,Ardeidae,Pelecaniformes,485KR,3,tier 2,https://navarog.github.io/wingsearch/card/365,TRUE
Black-Headed Gull,Chroicocephalus ridibundus,european,brown,Steal 1 [wild] from another player's supply and add it to your own supply. They gain 1 [die] from the birdfeeder.,This species is an opportunistic feeder that will consume anything from scraps to fish.,,,,3,ground,2,102,,,X,1,,,,,,1,,,2,L,,,,X,,,X,X,X,,X,,,X,X,,,,,X,,,,,,X,,X,,,,,X,,X,,,Chroicocephalus ridibundus,Laridae,Charadriiformes,5YGFK,2,tier 1,https://navarog.github.io/wingsearch/card/499,FALSE
Black-Naped Oriole,Oriolus chinensis,asia,teal,"If you used all 4 actions this round, gain 1 [wild] from the supply, lay 1 [egg] on any bird, and draw 1 [card] from the deck.","Due to geographic variation, the Black-naped oriole has over a dozen subspecies.",,,,5,bowl,2,50,X,X,,1,,,2,,,,,,3,R,,,,,,,,X,,,X,,,X,,X,,,X,,,,,,,,,,,,,,X,X,,X,,Oriolus chinensis,Oriolidae,Passeriformes,757GG,3,tier 2,https://navarog.github.io/wingsearch/card/39,FALSE
Black-Necked Grebe,Podiceps nigricollis,promoEurope,pink,"When another player plays a bird with a food cost of 3 food, draw 1 [card].","After migrating, the black-necked grebe becomes flightless for more than a month.",,,,5,wild,2,58,,,X,1,,1,,,,,,,2,L,,,,X,X,,X,X,X,,X,,,X,,,,,,X,,,X,,,,X,,,X,,,X,,X,X,,Podiceps nigricollis,Podicipedidae,Podicipediformes,4KPP4,,,https://navarog.github.io/wingsearch/card/275,FALSE
Black-Necked Stilt,Himantopus mexicanus,core,white,Draw 2 [card].,"When not breeding, stilts form closely packed groups and will mob predators.",,,,4,ground,2,74,,,X,2,,,,,,,,,2,R,R,,,X,X,X,,,,,X,,,X,,,,,,X,,,,X,,X,,,,,,,X,,X,,,Himantopus mexicanus,Recurvirostridae,Charadriiformes,6LWTY,1,tier 0,https://navarog.github.io/wingsearch/card/40,TRUE
Black-Shouldered Kite,Elanus axillaris,oceania,brown,"Reset the birdfeeder and gain 1 [rodent], if there is one. You may give it to another player; if you do, lay up to 3 [egg] on this bird.","In their mating display, a female kite will grab food from a male’s talons while flipping upside-down.",X,,,2,platform,3,87,,X,,,,,,2,,,,,2,L,,,,,,,,,,X,X,,,X,X,,,,,,,X,,,,X,,,,X,X,X,,,,,,Elanus axillaris,Accipitridae,Accipitriformes,38YJ6,4,underused tier,https://navarog.github.io/wingsearch/card/41,FALSE
Black-Tailed Godwit,Limosa limosa,european,white,Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.,These birds are protected from hunting in much of Europe due to population declines.,,,X,6,ground,2,76,,,X,2,1,,,,,,,,3,L,,,,,,,X,X,X,X,X,,,X,,,,X,X,X,X,,,,,X,,,,,,,X,,X,,,Limosa limosa,Scolopacidae,Charadriiformes,72FCR,4,underused tier,https://navarog.github.io/wingsearch/card/577,FALSE
Black-Throated Diver,Gavia arctica,european,brown,"Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].",This northern species breeds on deep freshwater lakes within a yard of the water's edge.,,,,5,ground,1,120,,,X,,,2,,,,,,,2,L,,,,,,,X,X,,,X,,,X,,,,,,X,,,X,,,X,,,,,,,X,,X,,,Gavia arctica,Gaviidae,Gaviiformes,3FFP5,2,tier 1,https://navarog.github.io/wingsearch/card/450,FALSE
Blackpoll Warbler,Setophaga striata,promoCA,white,"Play another bird in this bird's habitat, paying its normal food and egg cost. If you do, draw 1 new bonus card.","Shifting habitats threaten these long-haul migrants, which feed in mixed-species flocks.",,,X,2,bowl,3,22,X,,,2,,,,,,,,,2,L,,,,X,X,X,,,,,,,,X,X,,,,,,X,,,X,X,,,,X,,,,,,,X,,Setophaga striata,Parulidae,Passeriformes,4X3CC,,,https://navarog.github.io/wingsearch/card/474,FALSE
Blood Pheasant,Ithaginis cruentus,promoAsia,brown,"From the supply, gain 1 food of a type not in the birdfeeder.",These high-altitude landfowl have adapted to hypoxia and ultraviolet radiation exposure.,,,,4,ground,4,78,X,X,,1,1,,,,,,,,2,R,,,,,,,,X,,,,,,X,,X,,X,,X,,,,,,X,,,,,,,,,,,,Ithaginis cruentus,Phasianidae,Galliformes,6NBD4,,,https://navarog.github.io/wingsearch/card/451,FALSE
Blue Duck,Hymenolaimus malacorhynchos,promoNZ,brown,"Reset the birdfeeder. If there are no [rodent] in the birdfeeder, lay 1 [egg] on this bird.",The fleshy black flaps on this bird’s bill turn pink when it is agitated.,,,,8,cavity,3,73,,,1,2,,,1,,,,,,3,R,,,,,,,,,,X,,,,X,,,,,X,,,,,,,X,X,,,,,,,X,X,,,Hymenolaimus malacorhynchos,Anatidae,Anseriformes,3NJWW,,,https://navarog.github.io/wingsearch/card/524,FALSE
Blue Grosbeak,Passerina caerulea,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",Grosbeaks especially like tangled vines and shrubby areas on forest edges.,,,,4,bowl,3,28,X,X,X,1,2,,,,,,,,3,R,,,,X,X,,,,,,X,,,X,,X,,X,X,,,,,,,,,,X,,,,,,,X,,Passerina caerulea,Cardinalidae,Passeriformes,4DXZ3,2,tier 1,https://navarog.github.io/wingsearch/card/42,FALSE
Blue Jay,Cyanocitta cristata,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",Blue jays can carry up to 5 acorns at a time and will store hundreds for winter.,,,,3,bowl,2,41,X,,,,1,,,,,1,,,2,R,R,,,X,,,,,,,,,,X,X,,,X,,,,,,,X,,,X,,,,,X,,,X,,Cyanocitta cristata,Corvidae,Passeriformes,32NKH,4,underused tier,https://navarog.github.io/wingsearch/card/43,TRUE
Blue Rock-Thrush,Monticola solitarius,asia,brown,"If this bird has no birds to the right of it, you may move it (only the card) to the player mat of the player on your left (you choose its habitat). If you do, draw 3 [card].","This bird was initially considered a thrush, but is actually more closely related to flycatchers.",,,,0,cavity,4,35,X,X,X,1,1,,1,,,,/,,1,R,,,,,,,X,X,X,,,,,X,X,X,,X,,,,,,,,,X,,,,,,,X,,,,Monticola solitarius,Muscicapidae,Passeriformes,44B89,4,underused tier,https://navarog.github.io/wingsearch/card/366,FALSE
Blue-Gray Gnatcatcher,Polioptila caerulea,core,brown,Gain 1 [invertebrate] from the supply.,Gnatcatchers' breeding range is steadily shifting north with climate change.,,,,1,bowl,3,15,X,,,1,,,,,,,,,1,L,L,,,X,X,,,,,,,,,X,X,,,,,,,,,X,X,,,,X,,,,,,,X,,Polioptila caerulea,Polioptilidae,Passeriformes,4KY6B,1,tier 0,https://navarog.github.io/wingsearch/card/44,TRUE
Blue-Winged Teal,Spatula discors,promoUS,teal,"Reset the birdfeeder, then for each [seed] in the birdfeeder, draw 1 [card]. You may tuck any or all of them behind this bird.",Bright green iridescent patches and blue wing feathers make this duck instantly recognizable.,,X,,3,ground,4,58,,,X,1,1,,,,,,,,2,L,,,,X,X,X,,,,,X,,,X,X,,X,X,,X,,,,,,,,,,,,,,,X,,,Spatula discors,Anatidae,Anseriformes,9HKHF,,,https://navarog.github.io/wingsearch/card/578,FALSE
Blue-Winged Warbler,Vermivora cyanoptera,core,,,This warbler especially likes to nest on the edges between forest and fields.,,,,8,bowl,2,20,X,X,,2,,,,,,,,,2,R,,,,X,X,,,,,,X,,,X,,X,,,,,,,,X,,,,,X,,,,X,,,X,,Vermivora cyanoptera,Parulidae,Passeriformes,5B478,2,tier 1,https://navarog.github.io/wingsearch/card/45,FALSE
Bluethroat,Luscinia svecica,european,brown,Choose a food type. All players gain 1 of that food from the supply.,The species name “svecica” comes from the male's colors matching the Swedish flag.,,,,7,ground,5,22,,X,X,1,1,,1,,,,,,3,R,L,,,,,,X,X,X,,X,,,X,,X,,X,X,X,,,,,,,,,X,,,,,X,,,,Luscinia svecica,Muscicapidae,Passeriformes,3WFWC,2,tier 1,https://navarog.github.io/wingsearch/card/46,TRUE
Blyth's Hornbill,Rhyticeros plicatus,oceania,white,Discard all [egg] from 1 of your birds with a [cavity] nest. Tuck twice that many [card] from the deck behind this bird.,Hornbills will occupy a cockatoo nest and kick out the cockatoos.,,X,,7,cavity,2,150,X,,,,,,3,,,,,,3,R,R,,,,,,,X,,X,X,,X,,,,X,,X,,,,,,X,X,X,,,,,,X,X,,,,Rhyticeros plicatus,Bucerotidae,Bucerotiformes,4SWG6,2,tier 1,https://navarog.github.io/wingsearch/card/276,TRUE
Boat-Tailed Grackle,Quiscalus major,promoUS,pink,"When another player caches a [wild] for any reason, cache 1 [wild] from your supply on this bird, then gain 1 [die] from the birdfeeder at the end of their turn.",Boat-tailed grackles are common along the coasts of the Mid-Atlantic and Southeastern U.S.,,,,4,bowl,2,45,,X,X,,,,,,,2,,,2,L,,,,X,,,,,,,X,,,,,X,,,,,,,,,,,,X,,,,,X,,,X,,Quiscalus major,Icteridae,Passeriformes,4R7KB,,,https://navarog.github.io/wingsearch/card/579,FALSE
Bobolink,Dolichonyx oryzivorus,core,white,Lay 1 [egg] on each of your birds with a [ground] nest.,Emily Dickinson wrote poems about these birds as rowdy choristers in her church of nature.,,,,4,ground,3,30,,X,,1,2,,,,,,,,3,R,R,,,X,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,X,,X,,,,,,,Dolichonyx oryzivorus,Icteridae,Passeriformes,375NS,3,tier 2,https://navarog.github.io/wingsearch/card/47,TRUE
Bonelli's Eagle,Aquila fasciata,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.","Senu, the scouting eagle in Assassin’s Creed Origins, is a Bonelli’s eagle.",X,,,8,platform,1,160,X,X,X,,,,,3,,,,*,3,L,L,,,,,,X,X,X,,,,X,,,X,,,X,,,X,,,,X,,,,X,,X,X,,,,,Aquila fasciata,Accipitridae,Accipitriformes,FZLR,0,god tier,https://navarog.github.io/wingsearch/card/48,TRUE
Brahminy Kite,Haliastur indus,asia,brown,"Choose any 3 [die]. Roll them up to 3 times. Each time, if you roll at least 1 [fish] or [rodent], cache 1 here. If not, stop and return all food cached here this turn.","This bird is revered as the representation of Garuda, carrier of the god Vishnu.",X,,,6,platform,2,125,,,X,1,,1,,1,,,,,3,L,L,,,,,,,X,,X,,,,,,,,,X,,,X,X,,,X,,,,X,,X,X,,X,,,Haliastur indus,Accipitridae,Accipitriformes,3JBL3,4,underused tier,https://navarog.github.io/wingsearch/card/367,TRUE
Brahminy Starling,Sturnia pagodarum,promoAsia,brown,"Discard up to 3 [wild]. For each, tuck 1 [card] from the deck behind this bird. If you discard at least 1 [wild], gain 1 [die] from the birdfeeder.",The scientific name of this omnivore refers to its habit of perching on pagodas.,,X,,1,cavity,4,31,X,X,X,1,,,,,,1,,,2,R,,,,,,,,X,,,,,,,X,X,X,,,,,,,,,,X,X,,,,,,,,,,Sturnia pagodarum,Sturnidae,Passeriformes,537Z6,,,https://navarog.github.io/wingsearch/card/452,FALSE
Brambling,Fringilla montifringilla,asia,teal,"Draw 2 [card] from the deck and add them to your hand. Then, tuck up to 2 [card] from your hand behind this bird.","Bramblings form large flocks in the winter, when they especially like the seeds of beech trees.",,X,,2,bowl,4,26,X,,,1,1,,,,,,,,2,R,,,,,,,X,X,X,,,,,,X,,X,X,,,,,,,X,,,,X,,,,,,,X,,Fringilla montifringilla,Fringillidae,Passeriformes,6JPSG,1,tier 0,https://navarog.github.io/wingsearch/card/368,FALSE
Brant,Branta bernicla,core,white,Draw the 3 face-up [card] in the bird tray.,Brants can migrate the 5300 kilometers from Alaska to Mexico in 54 hours.,,,,3,ground,2,114,,,X,,1,,,,,1,,,2,R,,X,,X,,,X,X,,,,,,,X,,,X,,X,,,,,,X,,X,,,,,X,,X,,,Branta bernicla,Anatidae,Anseriformes,N749,4,underused tier,https://navarog.github.io/wingsearch/card/49,FALSE
Brewer's Blackbird,Euphagus cyanocephalus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.",Brewer was a prominent 19th-century ornithologist and oologist.,,X,,3,bowl,3,41,,X,,,1,,,,,1,,,2,L,L,,,X,X,,,,,,,,X,X,X,,X,X,,,,,,,,,,X,,,X,,,,,X,,Euphagus cyanocephalus,Icteridae,Passeriformes,3CM7X,3,tier 2,https://navarog.github.io/wingsearch/card/50,TRUE
Broad-Winged Hawk,Buteo platypterus,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",This hawk is seen more during migration than when it's in the forest interior.,X,,,4,platform,2,85,X,,,,,,,1,,,,,1,R,R,X,,X,X,X,,,,,X,,,,,,,,,,,X,,,X,X,,,,X,,X,X,,,,,Buteo platypterus,Accipitridae,Accipitriformes,NYVJ,3,tier 2,https://navarog.github.io/wingsearch/card/51,TRUE
Brolga,Antigone rubicunda,oceania,brown,Choose 1 other player. They lay 1 [egg]; you draw 2 [card].,Brolgas are famous for their elaborate mating dances.,,,,6,ground,2,215,,,X,1,1,,,,,1,,,3,R,R,,,,,,,,,X,,,,,,,,X,X,X,,,,,,X,,X,,,,,X,,X,,,Antigone rubicunda,Gruidae,Gruiformes,CND77,4,underused tier,https://navarog.github.io/wingsearch/card/277,TRUE
Bronzed Cowbird,Molothrus aeneus,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a [bowl] nest.",Cowbirds lay eggs in other birds' nests and often break or push out the host bird's eggs.,,,,5,,0,36,,X,,1,1,,,,,,,,2,R,,,,X,X,,,,,,,,,X,,,,X,,,,,,,,,,,,,X,,X,,,,,Molothrus aeneus,Icteridae,Passeriformes,43YJF,3,tier 2,https://navarog.github.io/wingsearch/card/52,FALSE
Brown Creeper,Certhia americana,promoUS,white,"Play an additional bird in your [forest]. Pay its normal food and egg cost. If it has a “When Activated” (brown) power, you may activate it.",Brown creepers defend territory during summer but join mixed-species feeding flocks in winter.,,,,1,wild,3,19,X,,,1,1,,,,,,/,,1,L,,,,X,X,,,,,,,,,X,X,,,X,,X,,,,,X,,X,,X,X,,,,,,X,,Certhia americana,Certhiidae,Passeriformes,69MXM,,,https://navarog.github.io/wingsearch/card/580,FALSE
Brown Falcon,Falco berigora,oceania,brown,"Look at a [card] from the deck. If its food cost includes an [invertebrate] or a [rodent], tuck it behind this bird. If not, discard it.","Brown falcons have a powerful, notched bill designed to kill prey with a bite to the spine.",X,,,5,platform,2,102,X,X,X,1,,,,1,,,,,2,R,R,,,,,,,,,X,,,,X,,X,,,,,,X,,,,X,,,,X,,X,X,,,,,Falco berigora,Falconidae,Falconiformes,3DTFR,4,underused tier,https://navarog.github.io/wingsearch/card/278,TRUE
Brown Pelican,Pelecanus occidentalis,core,white,Gain 3 [fish] from the supply.,"Seriously endangered in the 1970s, brown pelicans are thriving after the US and Canada banned DDT.",,,,4,platform,2,201,,,X,,,2,,,,,,,2,R,R,,,X,X,X,,,,,,,,X,,,,,,,,,X,,,X,,,,X,,,X,,X,,,Pelecanus occidentalis,Pelecanidae,Pelecaniformes,6TZ8G,3,tier 2,https://navarog.github.io/wingsearch/card/53,TRUE
Brown Shrike,Lanius cristatus,asia,brown,All players may cache 1 [invertebrate] from their personal supply on a bird in their [grassland].,"The name Lanius means ""butcher,"" and was given because shrikes store their prey by hanging it.",,,,6,bowl,3,24,,X,,1,,,,1,,,,,2,L,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,X,,X,X,,,,X,,Lanius cristatus,Laniidae,Passeriformes,3S7BL,4,underused tier,https://navarog.github.io/wingsearch/card/369,FALSE
Brown Thrasher,Toxostoma rufum,promoUS,brown,Discard 1 [card] in the tray with a “When Activated” (brown) power; you may copy its power. You may reset or refill the tray before discarding.,"Brown thrashers aggressively defend their nests and boast repertoires of more than 1,000 songs.",,,,2,bowl,3,31,X,X,,,,,,,,2,,,2,L,,,,X,,,,,,,,,,X,X,X,,,,,,,,,,,,X,,,,,,,,X,,Toxostoma rufum,Mimidae,Passeriformes,57MP2,,,https://navarog.github.io/wingsearch/card/581,FALSE
Brown-Headed Cowbird,Molothrus ater,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a [bowl] nest.",Cowbirds do not make nests; they lay their eggs in other birds' nests.,,,,3,,0,30,,X,,,1,,,,,,,,1,L,,,,X,X,,,,,,X,,,X,X,,,X,,,,,,,,,,,X,,X,,X,,,,,Molothrus ater,Icteridae,Passeriformes,43YJG,4,underused tier,https://navarog.github.io/wingsearch/card/54,FALSE
Budgerigar,Melopsittacus undulatus,oceania,brown,Tuck the smallest bird in the tray behind this bird.,Budgies learn specific group calls that help them find their group within vast flocks.,,X,,0,cavity,3,30,X,X,X,,1,,,,,,,,1,R,R,,,,,,,,,X,,,,,X,X,X,X,,,,,,,,,X,,X,,,,,,,,,Melopsittacus undulatus,Psittaculidae,Psittaciformes,3ZN3R,3,tier 2,https://navarog.github.io/wingsearch/card/279,TRUE
Bullfinch,Pyrrhula pyrrhula,european,brown,"Reset the birdfeeder. If you do, gain 1 [seed] or 1 [fruit] from the birdfeeder after resetting.",The bullfinch feeds on the buds of fruit trees and is considered a pest in orchards.,,,,3,bowl,4,24,X,,,,1,,1,,,,,,2,R,R,,,,,,X,X,,,,,,,X,,,X,,,,,,,X,,,,X,,,,,X,,X,,Pyrrhula pyrrhula,Fringillidae,Passeriformes,4QW2H,3,tier 2,https://navarog.github.io/wingsearch/card/55,TRUE
Burrowing Owl,Athene cunicularia,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",These owls often use old prairie dog burrows for their underground nests.,X,,,5,wild,4,53,,X,,1,,,,1,,,,,2,N,N,,,X,X,X,,,,,,,,,,,,,,X,,X,,,,,X,,,X,X,X,,,,X,,Athene cunicularia,Strigidae,Strigiformes,5W7C4,4,underused tier,https://navarog.github.io/wingsearch/card/56,TRUE
Bushtit,Psaltriparus minimus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.","Bushtits live in flocks, and single adults will help couples raise their young.",,X,,2,wild,5,15,X,X,X,1,1,,,,,,,,2,L,L,,,X,X,,,,,,,,,,X,X,X,X,,X,,,,,,,X,,X,X,,,,,,X,,Psaltriparus minimus,Aegithalidae,Passeriformes,4NB5F,2,tier 1,https://navarog.github.io/wingsearch/card/57,TRUE
Cactus Wren,Campylorhynchus brunneicapillus,promoUS,brown,"Discard 1 [card] from your hand. If you do, lay 2 [egg] on a bird with the same nest type as the discarded bird.",Cactus wrens destroy other birds’ nests and maintain several secondary nesting sites.,,,,4,wild,2,29,,X,,,1,,,,,1,,,2,L,,,,X,X,,,,,,,,,,,,,X,,X,,,,,,,X,X,X,X,X,,X,,,X,,Campylorhynchus brunneicapillus,Troglodytidae,Passeriformes,QHS3,,,https://navarog.github.io/wingsearch/card/582,FALSE
