Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Swift Start,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Black-Tailed Godwit,Limosa limosa,european,white,Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.,These birds are protected from hunting in much of Europe due to population declines.,,,X,6,ground,2,76,,,X,2,1,,,,,,,,3,,,,,X,X,X,X,X,,,X,,,,X,X,X,X,,,,,X,,,,,,,X,,X,,,Limosa limosa,Scolopacidae,Charadriiformes,72FCR,4,underused tier,https://navarog.github.io/wingsearch/card/40,FALSE
Black-Throated Diver,Gavia arctica,european,brown,"Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].",This northern species breeds on deep freshwater lakes within a yard of the water's edge.,,,,5,ground,1,120,,,X,,,2,,,,,,,2,,,,,X,X,,,X,,,X,,,,,,X,,,X,,,X,,,,,,,X,,X,,,Gavia arctica,Gaviidae,Gaviiformes,3FFP5,2,tier 1,https://navarog.github.io/wingsearch/card/41,FALSE
Blue Grosbeak,Passerina caerulea,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",Grosbeaks especially like tangled vines and shrubby areas on forest edges.,,,,4,bowl,3,28,X,X,X,1,2,,,,,,,,3,,X,X,,,,,,X,,,X,,X,,X,X,,,,,,,,,,X,,,,,,,X,,Passerina caerulea,Cardinalidae,Passeriformes,4DXZ3,2,tier 1,https://navarog.github.io/wingsearch/card/42,FALSE
Blue Jay,Cyanocitta cristata,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",Blue jays can carry up to 5 acorns at a time and will store hundreds for winter.,,,,3,bowl,2,41,X,,,,1,,,,,1,,,2,,X,,,,,,,,,,X,X,,,X,,,,,,,X,,,X,,,,,X,,,X,,Cyanocitta cristata,Corvidae,Passeriformes,32NKH,4,underused tier,https://navarog.github.io/wingsearch/card/43,TRUE
Blue Rock-Thrush,Monticola solitarius,asia,brown,"If this bird has no birds to the right of it, you may move it (only the card) to the player mat of the player on your left (you choose its habitat). If you do, draw 3 [card].","This bird was initially considered a thrush, but is actually more closely related to flycatchers.",,,,0,cavity,4,35,X,X,X,1,1,,1,,,,/,,1,,,,,X,X,X,,,,,X,X,X,,X,,,,,,,,,X,,,,,,,X,,,,Monticola solitarius,Muscicapidae,Passeriformes,44B89,4,underused tier,https://navarog.github.io/wingsearch/card/366,FALSE
Blue-Gray Gnatcatcher,Polioptila caerulea,core,brown,Gain 1 [invertebrate] from the supply.,Gnatcatchers' breeding range is steadily shifting north with climate change.,,,,1,bowl,3,15,X,,,1,,,,,,,,,1,,X,X,,,,,,,,,X,X,,,,,,,,,X,X,,,,X,,,,,,,X,,Polioptila caerulea,Polioptilidae,Passeriformes,4KY6B,1,tier 0,https://navarog.github.io/wingsearch/card/44,FALSE
Blue-Winged Warbler,Vermivora cyanoptera,core,,,This warbler especially likes to nest on the edges between forest and fields.,,,,8,bowl,2,20,X,X,,2,,,,,,,,,2,,X,X,,,,,,X,,,X,,X,,,,,,,,X,,,,,X,,,,X,,,X,,Vermivora cyanoptera,Parulidae,Passeriformes,5B478,2,tier 1,https://navarog.github.io/wingsearch/card/45,FALSE
Bluethroat,Luscinia svecica,european,brown,Choose a food type. All players gain 1 of that food from the supply.,The species name “svecica” comes from the male's colors matching the Swedish flag.,,,,7,ground,5,22,,X,X,1,1,,1,,,,,,3,,,,,X,X,X,,X,,,X,,X,,X,X,X,,,,,,,,,X,,,,,X,,,,Luscinia svecica,Muscicapidae,Passeriformes,3WFWC,2,tier 1,https://navarog.github.io/wingsearch/card/46,TRUE
Blyth's Hornbill,Rhyticeros plicatus,oceania,white,Discard all [egg] from 1 of your birds with a [cavity] nest. Tuck twice that many [card] from the deck behind this bird.,Hornbills will occupy a cockatoo nest and kick out the cockatoos.,,X,,7,cavity,2,150,X,,,,,,3,,,,,,3,,,,,,X,,X,X,,X,,,,X,,X,,,,,,X,X,X,,,,,,X,X,,,,Rhyticeros plicatus,Bucerotidae,Bucerotiformes,4SWG6,2,tier 1,https://navarog.github.io/wingsearch/card/276,FALSE
Bobolink,Dolichonyx oryzivorus,core,white,Lay 1 [egg] on each of your birds with a [ground] nest.,Emily Dickinson wrote poems about these birds as rowdy choristers in her church of nature.,,,,4,ground,3,30,,X,,1,2,,,,,,,,3,,X,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,X,,X,,,,,,,Dolichonyx oryzivorus,Icteridae,Passeriformes,375NS,3,tier 2,https://navarog.github.io/wingsearch/card/47,TRUE
Bonelli's Eagle,Aquila fasciata,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.","Senu, the scouting eagle in Assassin’s Creed Origins, is a Bonelli’s eagle.",X,,,8,platform,1,160,X,X,X,,,,,3,,,,*,3,,,,,X,X,X,,,,X,,,X,,,X,,,X,,,,X,,,,X,,X,X,,,,,Aquila fasciata,Accipitridae,Accipitriformes,FZLR,0,god tier,https://navarog.github.io/wingsearch/card/48,TRUE
Brahminy Kite,Haliastur indus,asia,brown,"Choose any 3 [die]. Roll them up to 3 times. Each time, if you roll at least 1 [fish] or [rodent], cache 1 here. If not, stop and return all food cached here this turn.","This bird is revered as the representation of Garuda, carrier of the god Vishnu.",X,,,6,platform,2,125,,,X,1,,1,,1,,,,,3,,,,,,X,,X,,,,,,,,,X,,,X,X,,,X,,,,X,,X,X,,X,,,Haliastur indus,Accipitridae,Accipitriformes,3JBL3,4,underused tier,https://navarog.github.io/wingsearch/card/367,TRUE
Brambling,Fringilla montifringilla,asia,teal,"Draw 2 [card] from the deck and add them to your hand. Then, tuck up to 2 [card] from your hand behind this bird.","Bramblings form large flocks in the winter, when they especially like the seeds of beech trees.",,X,,2,bowl,4,26,X,,,1,1,,,,,,,,2,,,,,X,X,X,,,,,,X,,X,X,,,,,,,X,,,,X,,,,,,,X,,Fringilla montifringilla,Fringillidae,Passeriformes,6JPSG,1,tier 0,https://navarog.github.io/wingsearch/card/368,FALSE
Brant,Branta bernicla,core,white,Draw the 3 face-up [card] in the bird tray.,Brants can migrate the 5300 kilometers from Alaska to Mexico in 54 hours.,,,,3,ground,2,114,,,X,,1,,,,,1,,,2,X,X,,,X,X,,,,,,,X,,,X,,X,,,,,,X,,X,,,,,X,,X,,,Branta bernicla,Anatidae,Anseriformes,N749,4,underused tier,https://navarog.github.io/wingsearch/card/49,FALSE
Brewer's Blackbird,Euphagus cyanocephalus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.",Brewer was a prominent 19th-century ornithologist and oologist.,,X,,3,bowl,3,41,,X,,,1,,,,,1,,,2,,X,X,,,,,,,,X,X,X,,X,X,,,,,,,,,,X,,,X,,,,,X,,Euphagus cyanocephalus,Icteridae,Passeriformes,3CM7X,3,tier 2,https://navarog.github.io/wingsearch/card/50,TRUE
Broad-Winged Hawk,Buteo platypterus,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",This hawk is seen more during migration than when it's in the forest interior.,X,,,4,platform,2,85,X,,,,,,,1,,,,,1,X,X,X,X,,,,,X,,,,,,,,,,,X,,,X,X,,,,X,,X,X,,,,,Buteo platypterus,Accipitridae,Accipitriformes,NYVJ,3,tier 2,https://navarog.github.io/wingsearch/card/51,FALSE
Brolga,Antigone rubicunda,oceania,brown,Choose 1 other player. They lay 1 [egg]; you draw 2 [card].,Brolgas are famous for their elaborate mating dances.,,,,6,ground,2,215,,,X,1,1,,,,,1,,,3,,,,,,,,X,,,,,,,,X,X,X,,,,,,X,,X,,,,,X,,X,,,Antigone rubicunda,Gruidae,Gruiformes,CND77,4,underused tier,https://navarog.github.io/wingsearch/card/277,TRUE
Bronzed Cowbird,Molothrus aeneus,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a [bowl] nest.",Cowbirds lay eggs in other birds' nests and often break or push out the host bird's eggs.,,,,5,,0,36,,X,,1,1,,,,,,,,2,,X,X,,,,,,,,,X,,,,X,,,,,,,,,,,,,X,,X,,,,,Molothrus aeneus,Icteridae,Passeriformes,43YJF,3,tier 2,https://navarog.github.io/wingsearch/card/52,FALSE
Brown Falcon,Falco berigora,oceania,brown,"Look at a [card] from the deck. If its food cost includes an [invertebrate] or a [rodent], tuck it behind this bird. If not, discard it.","Brown falcons have a powerful, notched bill designed to kill prey with a bite to the spine.",X,,,5,platform,2,102,X,X,X,1,,,,1,,,,,2,,,,,,,,X,,,,X,,X,,,,,,X,,,,X,,,,X,,X,X,,,,,Falco berigora,Falconidae,Falconiformes,3DTFR,4,underused tier,https://navarog.github.io/wingsearch/card/278,TRUE
Brown Pelican,Pelecanus occidentalis,core,white,Gain 3 [fish] from the supply.,"Seriously endangered in the 1970s, brown pelicans are thriving after the US and Canada banned DDT.",,,,4,platform,2,201,,,X,,,2,,,,,,,2,,X,X,X,,,,,,,,X,,,,,,,,,X,,,X,,,,X,,,X,,X,,,Pelecanus occidentalis,Pelecanidae,Pelecaniformes,6TZ8G,3,tier 2,https://navarog.github.io/wingsearch/card/53,TRUE
Brown Shrike,Lanius cristatus,asia,brown,All players may cache 1 [invertebrate] from their personal supply on a bird in their [grassland].,"The name Lanius means ""butcher,"" and was given because shrikes store their prey by hanging it.",,,,6,bowl,3,24,,X,,1,,,,1,,,,,2,,,,,,X,,,,,,X,,,,,,,,,,,,,,,X,,X,X,,,,X,,Lanius cristatus,Laniidae,Passeriformes,3S7BL,4,underused tier,https://navarog.github.io/wingsearch/card/369,FALSE
Brown-Headed Cowbird,Molothrus ater,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a [bowl] nest.",Cowbirds do not make nests; they lay their eggs in other birds' nests.,,,,3,,0,30,,X,,,1,,,,,,,,1,,X,X,,,,,,X,,,X,X,,,X,,,,,,,,,,,X,,X,,X,,,,,Molothrus ater,Icteridae,Passeriformes,43YJG,4,underused tier,https://navarog.github.io/wingsearch/card/54,FALSE
Budgerigar,Melopsittacus undulatus,oceania,brown,Tuck the smallest bird in the tray behind this bird.,Budgies learn specific group calls that help them find their group within vast flocks.,,X,,0,cavity,3,30,X,X,X,,1,,,,,,,,1,,,,,,,,X,,,,,X,X,X,X,,,,,,,,,X,,X,,,,,,,,,Melopsittacus undulatus,Psittaculidae,Psittaciformes,3ZN3R,3,tier 2,https://navarog.github.io/wingsearch/card/279,TRUE
Bullfinch,Pyrrhula pyrrhula,european,brown,"Reset the birdfeeder. If you do, gain 1 [seed] or 1 [fruit] from the birdfeeder after resetting.",The bullfinch feeds on the buds of fruit trees and is considered a pest in orchards.,,,,3,bowl,4,24,X,,,,1,,1,,,,,,2,,,,,X,X,,,,,,,X,,,X,,,,,,,X,,,,X,,,,,X,,X,,Pyrrhula pyrrhula,Fringillidae,Passeriformes,4QW2H,3,tier 2,https://navarog.github.io/wingsearch/card/55,TRUE
Burrowing Owl,Athene cunicularia,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",These owls often use old prairie dog burrows for their underground nests.,X,,,5,wild,4,53,,X,,1,,,,1,,,,,2,,X,X,X,,,,,,,,,,,,,,X,,X,,,,,X,,,X,X,X,,,,X,,Athene cunicularia,Strigidae,Strigiformes,5W7C4,4,underused tier,https://navarog.github.io/wingsearch/card/56,TRUE
Bushtit,Psaltriparus minimus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.","Bushtits live in flocks, and single adults will help couples raise their young.",,X,,2,wild,5,15,X,X,X,1,1,,,,,,,,2,,X,X,,,,,,,,,,X,X,X,X,,X,,,,,,,X,,X,X,,,,,,X,,Psaltriparus minimus,Aegithalidae,Passeriformes,4NB5F,2,tier 1,https://navarog.github.io/wingsearch/card/57,TRUE
California Condor,Gymnogyps californianus,core,white,Draw 2 new bonus cards and keep 1.,"There were just 22 of these scavengers alive in the 1980s, but now there are over 500.",,,X,1,ground,1,277,X,X,X,,,,,,,,,,0,,X,,,,,,,,X,,,X,X,,,,X,X,,,,,X,,,,,,,X,,,,,Gymnogyps californianus,Cathartidae,Accipitriformes,3HSM2,4,underused tier,https://navarog.github.io/wingsearch/card/58,FALSE
California Quail,Callipepla californica,core,brown,Lay 1 [egg] on this bird.,California quail nests have been reported with as many as 28 eggs.,,,,3,ground,6,36,X,X,,1,2,,,,,,,,3,,X,X,,,,,,,X,,,X,X,,X,X,X,,,,,,,,,,,,,,,,,,Callipepla californica,Odontophoridae,Galliformes,PSBS,1,tier 0,https://navarog.github.io/wingsearch/card/59,FALSE
Canada Goose,Branta canadensis,core,brown,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,The oldest known Canada Goose was at least 33 years old.,,X,,3,ground,3,132,,X,X,,2,,,,,,,,2,,X,X,,,,,,,X,,,X,X,X,X,,X,,,,,,X,,,,,,,,,,,,Branta canadensis,Anatidae,Anseriformes,5WRC3,3,tier 2,https://navarog.github.io/wingsearch/card/60,TRUE
Canvasback,Aythya valisineria,core,brown,All players draw 1 [card] from the deck.,The fastest recorded canvasback was flying 116 kilometers per hour.,,,,4,wild,4,82,,,X,,1,,,,,1,,,2,X,X,,,,,,,X,,,,,,,X,,X,,,,,,X,X,X,,X,,,,,X,X,,Aythya valisineria,Anatidae,Anseriformes,K56Z,4,underused tier,https://navarog.github.io/wingsearch/card/61,FALSE
Carolina Chickadee,Poecile carolinensis,core,brown,Cache 1 [seed] from the supply on this bird.,Chickadees hide seeds and can remember thousands of hiding places.,,,,2,cavity,3,20,X,,,1,1,,,,,,/,,1,,X,,,,,,,,X,,,X,,,X,,,,,,,X,,X,,X,,,,,,,,,Poecile carolinensis,Paridae,Passeriformes,4KSBW,2,tier 1,https://navarog.github.io/wingsearch/card/62,FALSE
Carolina Wren,Thryothorus ludovicianus,core,white,Draw 2 [card].,"A single male Carolina Wren can sing nearly 3,000 times in a single day.",,,,1,cavity,5,20,X,,,1,,,1,,,,/,,1,,X,X,,,,,,,X,,,X,,,,,,,,,,X,,X,,X,,,,,X,,,,Thryothorus ludovicianus,Troglodytidae,Passeriformes,56N7Q,3,tier 2,https://navarog.github.io/wingsearch/card/63,TRUE
Carrion Crow,Corvus corone,european,teal,Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.,"In their range, carrion crows are the primary scavengers of small animal carcasses.",,,,3,platform,2,92,,X,X,1,,,,,,1,,,2,,,,,X,X,,,,,,,X,X,,,,,,,,,,X,,X,,X,,,X,,,,,Corvus corone,Corvidae,Passeriformes,YNHJ,3,tier 2,https://navarog.github.io/wingsearch/card/64,FALSE
Cassin's Finch,Haemorhous cassinii,core,white,Draw 2 new bonus cards and keep 1.,"Fifteen birds are named after ornithologist John Cassin, including 2 in this game.",,,X,4,bowl,3,30,X,,,,1,,1,,,,,,2,,X,X,,,,,,,,X,,,,,X,,,X,,,,X,,,,X,,,,,X,,X,,Haemorhous cassinii,Fringillidae,Passeriformes,3J96D,2,tier 1,https://navarog.github.io/wingsearch/card/65,TRUE
Cassin's Sparrow,Peucaea cassinii,core,brown,Lay 1 [egg] on any bird.,Ornithologist Josh Cassin died from years of handling arsenic-preserved birds.,,,,3,ground,2,20,,X,,1,1,,,,,,,,2,,X,X,,,,,,,,X,,X,,,X,,X,,,,,,,,,X,,X,,X,,,,,Peucaea cassinii,Passerellidae,Passeriformes,4FF36,2,tier 1,https://navarog.github.io/wingsearch/card/66,FALSE
Cedar Waxwing,Bombycilla cedrorum,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [fruit] from the supply.",These birds secrete red wax on the tips of their wing feathers.,,X,,3,bowl,3,25,X,X,,,,,2,,,,,,2,,X,X,,,,,,X,,,,X,X,X,,,,,,,,,,,,X,,,,,X,,X,,Bombycilla cedrorum,Bombycillidae,Passeriformes,MFZ9,3,tier 2,https://navarog.github.io/wingsearch/card/67,TRUE
Cerulean Warbler,Setophaga cerulea,core,white,Draw 2 new bonus cards and keep 1.,"Between 1966 and 2015, this species lost 74% of its population.",,,X,4,bowl,2,20,X,,,1,1,,,,,,,,2,,X,X,X,,,,,,,,X,,,,X,,,X,,,,X,,,,X,,,,X,,,X,,Setophaga cerulea,Parulidae,Passeriformes,4X3BJ,2,tier 1,https://navarog.github.io/wingsearch/card/68,TRUE
Cetti's Warbler,Cettia cetti,european,teal,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.","These birds often hide in deep brush, but reveal themselves with a loud song.",,,,4,bowl,3,17,,,X,1,1,,,,,,,,2,,,,,X,X,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,X,X,,Cettia cetti,Cettiidae,Passeriformes,T77T,4,underused tier,https://navarog.github.io/wingsearch/card/69,FALSE
Chestnut-Collared Longspur,Calcarius ornatus,core,white,Draw 2 new bonus cards and keep 1.,This bird's population dropped by 82% between 1966 and 2015.,,,X,5,ground,4,25,,X,,1,2,,,,,,,,3,,X,X,,,,,,X,,,X,,,,X,X,X,X,,,,,,,,X,,X,,,,,,,Calcarius ornatus,Calcariidae,Passeriformes,PGVZ,3,tier 2,https://navarog.github.io/wingsearch/card/70,TRUE
Chihuahuan Raven,Corvus cryptoleucus,core,brown,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,This bird is native to the Chihuahuan Desert of the southwest US and northern Mexico.,,,,4,platform,3,112,,X,,,,,,1,,2,,,3,,X,X,,,,,,,X,,,,,,,X,,,,,,,X,,X,,X,X,X,,,,,,Corvus cryptoleucus,Corvidae,Passeriformes,YNHM,0,god tier,https://navarog.github.io/wingsearch/card/71,TRUE
Chimney Swift,Chaetura pelagica,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",These birds have adapted to nest in chimneys instead of hollow trees.,,,,3,wild,2,36,X,X,X,2,,,,,,,,,2,,X,X,X,,,,,,,,,X,X,,,,X,,,,X,,,X,,,X,,,X,,,X,,Chaetura pelagica,Apodidae,Apodiformes,TF38,4,underused tier,https://navarog.github.io/wingsearch/card/72,FALSE
Chipping Sparrow,Spizella passerina,core,brown,Lay 1 [egg] on any bird.,"These sparrows generally feed on open ground, but near trees.",,,,1,bowl,3,23,X,X,,1,1,,,,,,/,,1,,X,X,,,,,,,,,,X,X,,X,,,,,,,,,,,X,,,,,,,X,,Spizella passerina,Passerellidae,Passeriformes,6ZCJF,1,tier 0,https://navarog.github.io/wingsearch/card/73,TRUE
Clark's Grebe,Aechmophorus clarkii,core,brown,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",Clark was a 19th-century surveyor who collected specimens for the Smithsonian.,,,,5,wild,2,61,,,X,,,1,,,,,,,1,,X,X,,,,,,,,X,,,,,,,X,,,X,,,,X,,,X,,,X,,X,X,,Aechmophorus clarkii,Podicipedidae,Podicipediformes,6575C,3,tier 2,https://navarog.github.io/wingsearch/card/74,FALSE
Clark's Nutcracker,Nucifraga columbiana,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",These birds are omnivorous but cache thousands of pine seeds for the winter.,,,,5,platform,2,61,X,,,,2,,,,,1,,,3,,X,,,,,,,,,X,,,,,X,X,,,,,,X,,,X,,X,,,X,,,,,Nucifraga columbiana,Corvidae,Passeriformes,482M5,4,underused tier,https://navarog.github.io/wingsearch/card/75,FALSE
Coal Tit,Periparus ater,european,brown,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.",Coal tits store spruce seeds (and sometimes invertebrates) for winter.,,,,2,cavity,6,16,X,,,1,1,,,,,,,,2,,,,,X,X,,,,,,X,X,,,X,,,,,,,X,,X,,X,,,,,,,,,Periparus ater,Paridae,Passeriformes,4F2VB,3,tier 2,https://navarog.github.io/wingsearch/card/76,TRUE
Cockatiel,Nymphicus hollandicus,oceania,brown,Discard 1 [seed] to choose a [card] from the tray and tuck it behind this bird.,Australia banned the export of cockatiels and other birds in 1894 because of poaching for the pet trade.,,X,,2,cavity,5,32,X,X,X,,1,,,,,,,,1,,,,,,,,X,,,,,X,X,X,X,,,,,,,,,X,,,,,,,,,,,Nymphicus hollandicus,Cacatuidae,Psittaciformes,486M2,3,tier 2,https://navarog.github.io/wingsearch/card/280,FALSE
Common Blackbird,Turdus merula,european,white,"Place this bird sideways, so that it covers 2 [forest] spaces. Pay the lower egg cost.",This bird was made world-famous by the Beatles.,,,,4,bowl,5,36,X,,,1,,,2,,,,,,3,,,,,X,X,,,,,,X,,,,,X,,,,,,X,,,,,,,,,X,,X,,Turdus merula,Turdidae,Passeriformes,7CYVX,4,underused tier,https://navarog.github.io/wingsearch/card/77,TRUE
Common Buzzard,Buteo buteo,european,white,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.","Male buzzards make a spectacular breeding display, flying high then spiraling down over and over.",X,,,4,platform,2,123,X,X,X,,,,,1,,,,*,1,,,,,X,X,X,,,,,,,X,,,,,,X,,,,X,,,,X,,X,X,,,,,Buteo buteo,Accipitridae,Accipitriformes,NYV7,3,tier 2,https://navarog.github.io/wingsearch/card/78,FALSE
Common Chaffinch,Fringilla coelebs,european,brown,Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.,All-male chaffinch flocks are common in winter; they’re nicknamed bachelor birds.,,X,,4,bowl,2,23,X,X,,1,1,,,,,,/,,1,,,,,X,X,,,,,,,,X,X,X,,,,,,,,,,,X,,,,X,,,X,,Fringilla coelebs,Fringillidae,Passeriformes,6JPSJ,2,tier 1,https://navarog.github.io/wingsearch/card/79,TRUE
Common Chiffchaff,Phylloscopus collybita,european,brown,Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.,"The chiffchaff’s name comes from its song, said to announce the arrival of spring.",,X,,3,ground,3,20,X,,X,1,1,,1,,,,/,,1,,,,,X,,X,,,,,,X,X,X,X,,X,,,,,,,,,X,,,,,X,,,,Phylloscopus collybita,Phylloscopidae,Passeriformes,6VFMH,2,tier 1,https://navarog.github.io/wingsearch/card/80,TRUE
Common Cuckoo,Cuculus canorus,european,pink,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [bowl] or [ground] nest.",These brood parasites' eggs can match host species' eggs in color and pattern.,,,,4,,0,57,X,X,,2,,,,,,,,,2,,,,,X,X,X,,,,,,,X,,,,,,,,X,,,,,,,,,X,,,,,Cuculus canorus,Cuculidae,Cuculiformes,6BPL3,2,tier 1,https://navarog.github.io/wingsearch/card/81,FALSE
Common Goldeneye,Bucephala clangula,european,teal,Lay 1 [egg] on this bird for each other bird with a [cavity] nest that you have.,Goldeneyes do not excavate nest holes; they look for natural cavities or old woodpecker nests.,,,,2,cavity,4,73,X,,X,1,,1,,,,,,,2,,X,,,X,X,,,X,,,X,X,X,,,,,,,X,,,X,X,,,,,,,,,,,Bucephala clangula,Anatidae,Anseriformes,NM25,3,tier 2,https://navarog.github.io/wingsearch/card/82,FALSE
